RoadType,SpeedLimit,NodeID,x,y
primary,40,1372425721,24.9208687,60.16479
primary,40,25238874,24.9210282,60.1636645
primary,40,336192701,24.9210404,60.1636123
tertiary,30,1519889266,24.9208323,60.163656
primary,40,25238883,24.9214411,60.1634517
cycleway,No data,258190363,24.9210842,60.1634384
footway,No data,25238933,24.924529,60.1611136
cycleway,No data,251711922,24.9257265,60.1608675
cycleway,No data,258187680,24.9239858,60.1613584
cycleway,No data,25238937,24.9258614,60.1608598
cycleway,No data,9378862813,24.9262542,60.1608878
primary,40,1372388321,24.9213864,60.1648186
cycleway,No data,313937387,24.9208478,60.1635695
unclassified,30,25290781,24.9208193,60.1668328
unclassified,30,1382320455,24.9209659,60.1668202
tertiary,30,313984203,24.9368796,60.1642762
tertiary,30,292859323,24.9369326,60.1643843
tertiary,30,313984198,24.9371893,60.164382
footway,No data,1372233731,24.9292737,60.1622904
tertiary,30,25291564,24.9416738,60.1659479
tertiary,30,311086402,24.9415363,60.1659001
residential,30,292858659,24.9417521,60.1658884
tertiary,30,296250765,24.9418225,60.1659982
residential,30,292859342,24.9415885,60.1660123
tertiary,30,25291565,24.939344,60.1651348
tertiary,30,310151301,24.9394949,60.1651875
tertiary,30,310150364,24.9392552,60.1651038
residential,30,292859324,24.9392584,60.1651958
residential,30,292858658,24.939421,60.1650799
tertiary,30,25291591,24.9355842,60.1653511
tertiary,30,299968940,24.9355091,60.1654034
primary,30,311746602,24.9354875,60.1653256
tertiary,30,313984215,24.9343528,60.1633928
tertiary,30,313984206,24.9346401,60.1634945
tertiary,30,292858656,24.93458,60.1633883
secondary,30,295946129,24.9326533,60.1711424
secondary,30,25416263,24.9273621,60.1694182
secondary,30,281702437,24.9275056,60.1694676
pedestrian,No data,295942981,24.9272603,60.169382
tertiary,30,281702433,24.9274637,60.1693562
service,30,25416267,24.9315761,60.1707248
service,30,295064651,24.931682,60.1706541
secondary,30,229088424,24.9317597,60.1707798
cycleway,No data,25473144,24.9319719,60.1710135
cycleway,No data,319821819,24.9296705,60.1702999
cycleway,No data,1783126396,24.9332349,60.1714678
steps,No data,1001544071,24.9322754,60.1710732
tertiary,30,846597955,24.9307513,60.1665712
service,30,56115897,24.9272265,60.1669427
service,30,303089523,24.9272521,60.1669974
